NestID	Cohort	Helpers	Size	Date
207	2011	0	-0.651654993	6/11/2011
208	2011	3	0.403374922	3/12/2011
208	2011	3	0.018296123	3/12/2011
209	2011	0	-1.514608887	1/12/2011
209	2011	0	-1.341323427	1/12/2011
210	2011	0	0.037550063	19/11/2011
210	2011	0	-0.520814197	19/11/2011
210	2011	0	-0.328274797	19/11/2011
211	2011	0	-2.095700492	19/11/2011
211	2011	0	-1.479574412	19/11/2011
212	2011	0	-1.637542717	22/11/2011
212	2011	0	-0.443798437	22/11/2011
212	2011	0	-1.113749552	22/11/2011
213	2011	1	-0.212751157	1/12/2011
213	2011	1	-0.694099657	11/12/2011
214	2011	0	0.368803826	13/11/2011
214	2011	0	0.711437962	23/11/2011
215	2011	1	0.403374922	16/12/2011
215	2011	1	0.672930082	16/12/2011
216	2011	1	0.333769353	5/11/2011
216	2011	1	0.560879847	5/11/2011
216	2011	1	0.584070571	5/11/2011
217	2011	1	-2.756874343	25/12/2011
218	2011	0	0.306966687	11/11/2011
218	2011	0	0.541950751	11/11/2011
219	2011	1	0.557406443	21/11/2011
219	2011	1	0.773136565	21/11/2011
220	2011	1	0.811181066	3/01/2012
220	2011	1	0.256753592	3/01/2012
221	2011	0	0.564222502	24/11/2011
221	2011	0	1.010999906	24/11/2011
222	2011	1	-0.170769872	9/01/2012
222	2011	1	0.391531172	9/01/2012
223	2011	2	0.441882802	21/11/2011
223	2011	2	0.465073526	21/11/2011
224	2011	2	0.256753592	29/12/2011
225	2011	0	0.595914322	15/01/2012
225	2011	0	0.753882626	15/01/2012
226	2011	0	-1.043273684	7/12/2011
226	2011	0	-0.557988402	7/12/2011
227	2011	2	0.230089462	1/12/2011
227	2011	2	0.095311882	1/12/2011
227	2011	2	-0.309020857	1/12/2011
228	2011	0	0.863183433	3/12/2011
228	2011	0	0.150787654	3/12/2011
229	2011	2	0.672253877	28/11/2011
229	2011	2	0.822348614	28/11/2011
230	2012	0	-0.089817328	21/01/2013
231	2012	0	0.29566839	26/12/2012
231	2012	0	0.299605174	26/12/2012
231	2012	0	0.280351235	26/12/2012
232	2012	0	-0.821467047	15/11/2012
232	2012	0	-0.575102613	15/11/2012
233	2012	0	0.179737832	28/11/2012
233	2012	0	-0.147579148	28/11/2012
234	2012	0	-0.412790606	20/11/2012
234	2012	0	-0.046965746	20/11/2012
235	2012	0	0.095311882	15/11/2012
235	2012	0	0.907914146	15/11/2012
235	2012	0	1.192786462	15/11/2012
236	2012	1	4.155290112	19/11/2012
236	2012	1	0.492144574	19/11/2012
236	2012	1	-1.009662746	19/11/2012
237	2012	0	2.486737224	9/01/2013
238	2012	0	-0.266576193	26/10/2012
239	2012	0	0.711437962	15/12/2012
239	2012	0	0.445819586	15/12/2012
240	2012	0	1.303697113	22/11/2012
240	2012	0	0.383444778	22/11/2012
241	2012	0	0.772673186	9/01/2013
241	2012	0	0.849688947	9/01/2013
242	2012	0	-0.243848848	10/11/2012
242	2012	0	0.310578627	10/11/2012
242	2012	0	0.753419247	10/11/2012
243	2012	1	0.002515586	15/11/2012
243	2012	1	0.368340446	15/11/2012
243	2012	1	0.753419247	15/11/2012
244	2012	0	-0.751861477	24/11/2012
244	2012	0	-1.040670577	24/11/2012
245	2012	0	-0.301610667	30/11/2012
245	2012	0	-0.532657947	30/11/2012
246	2012	0	1.470158729	18/12/2012
246	2012	0	1.493349453	18/12/2012
247	2012	1	-0.715956705	5/11/2012
247	2012	1	0.034946954	5/11/2012
248	2012	0	-0.714029802	6/11/2012
248	2012	0	-0.463728581	6/11/2012
249	2012	1	0.249343402	9/11/2012
249	2012	1	0.234026246	9/11/2012
250	2012	0	0.191581583	8/01/2013
250	2012	0	-0.343591953	8/01/2013
251	2012	0	-1.191228693	12/11/2012
251	2012	0	-1.171974752	12/11/2012
252	2012	0	-1.63620904	25/11/2012
252	2012	0	-0.365449002	25/11/2012
252	2012	0	-0.943067201	25/11/2012
253	2012	0	-0.836377286	30/11/2012
253	2012	0	-0.027711806	30/11/2012
253	2012	0	-0.374282726	30/11/2012
254	2012	0	-2.692572632	4/12/2012
254	2012	0	-1.441066533	4/12/2012
254	2012	0	-0.093290733	4/12/2012
255	2012	0	0.083468132	27/11/2012
256	2012	0	-1.948208864	7/11/2012
256	2012	0	-0.272135462	7/11/2012
257	2012	0	-1.422275972	13/12/2012
257	2012	0	-0.594356553	13/12/2012
258	2012	0	-0.692765981	26/12/2012
258	2012	0	-0.288433242	26/12/2012
258	2012	0	0.115899499	26/12/2012
259	2012	0	0.850152326	22/11/2012
259	2012	0	-0.340118548	22/11/2012
260	2012	0	-2.176653035	14/12/2012
260	2012	0	-0.963654817	14/12/2012
261	2012	0	-1.133003493	23/11/2012
261	2012	0	-0.786432573	17/11/2012
262	2012	0	-0.020211758	25/11/2012
262	2012	0	0.403374922	25/11/2012
262	2012	0	-0.671372313	25/11/2012
263	2012	0	-0.667435527	13/12/2012
264	2012	0	-2.157399096	5/11/2012
265	2012	0	-0.917736747	28/11/2012
266	2012	0	-0.039465697	9/11/2012
267	2012	0	0.661086332	19/12/2012
267	2012	0	0.661086332	19/12/2012
268	2012	1	-0.998689293	27/12/2012
268	2012	1	-0.055246233	27/12/2012
268	2012	1	0.372277232	23/12/2012
269	2012	1	0.422628862	2/12/2012
269	2012	1	0.869406265	2/12/2012
269	2012	1	0.792390507	2/12/2012
270	2012	0	0.641832392	6/12/2012
270	2012	0	0.757356031	6/12/2012
271	2012	0	2.056610653	14/01/2013
271	2012	0	1.502183177	14/01/2013
272	2012	0	0.711437962	27/11/2012
272	2012	0	1.289056162	27/11/2012
272	2012	0	1.273739006	27/11/2012
273	2012	0	-0.272799026	28/11/2012
273	2012	0	0.247057354	28/11/2012
274	2012	2	0.791927126	30/11/2012
274	2012	2	0.391531172	30/11/2012
274	2012	2	0.333769353	30/11/2012
275	2012	0	0.468546932	11/11/2012
275	2012	0	0.141229951	11/11/2012
276	2012	0	-0.074500173	12/11/2012
276	2012	0	-0.301610667	12/11/2012
277	2012	2	0.349549887	10/12/2012
278	2012	1	-0.366782678	19/12/2012
278	2012	1	-0.520814197	19/12/2012
278	2012	1	-0.366782678	19/12/2012
279	2012	0	-0.012801567	5/12/2012
279	2012	0	0.141229951	5/12/2012
280	2012	0	-1.187291907	6/12/2012
280	2012	0	-1.302815546	6/12/2012
281	2012	0	-1.447606425	5/11/2012
281	2012	0	-2.11755754	5/11/2012
282	2012	1	0.214308927	26/10/2012
282	2012	1	0.468546932	26/10/2012
282	2012	1	0.218245712	26/10/2012
283	2012	0	0.587413226	14/11/2012
283	2012	0	0.664428986	14/11/2012
284	2012	1	0.672930082	12/11/2012
285	2012	0	0.272070746	21/01/2013
285	2012	0	0.464610147	21/01/2013
286	2012	0	-1.120289444	29/10/2012
286	2012	0	-1.351336725	29/10/2012
287	2012	0	0.318525059	4/12/2012
287	2012	0	-0.074036794	4/12/2012
288	2012	1	-1.537336232	5/11/2012
288	2012	1	-1.233209976	5/11/2012
288	2012	1	-1.383304712	5/11/2012
289	2012	1	-0.575102613	28/11/2012
289	2012	1	0.021769527	28/11/2012
290	2012	0	-2.323274367	5/11/2012
290	2012	0	-1.788100832	5/11/2012
291	2012	1	0.478104633	12/11/2012
291	2012	1	0.574374333	12/11/2012
292	2012	0	-0.597829957	23/12/2012
292	2012	0	-0.020211758	23/12/2012
293	2012	1	-2.057655992	11/11/2012
293	2012	1	-1.476101006	11/11/2012
293	2012	1	-1.052514328	11/11/2012
294	2012	3	1.269802221	26/10/2012
294	2012	3	0.826961603	26/10/2012
294	2012	3	1.423833741	26/10/2012
295	2012	0	-0.613610492	19/12/2012
296	2012	1	-2.410303423	20/11/2012
296	2012	1	-3.003238779	20/11/2012
296	2012	1	-2.714429679	20/11/2012
297	2012	1	-0.174243277	13/12/2012
298	2012	0	0.314515411	9/12/2012
298	2012	0	-0.051309448	9/12/2012
299	2012	2	0.766596673	3/12/2012
299	2012	2	0.693517698	3/12/2012
300	2012	1	-0.143235446	9/12/2012
